Re(Z)/Ohm	-Im(Z)/Ohm	
4.0603709E+000	5.1837313E-001
4.2136626E+000	5.8331096E-001
4.3838544E+000	6.3098496E-001
4.5586610E+000	6.6043162E-001
4.7313161E+000	6.7977339E-001
4.8954511E+000	6.9147718E-001
5.0522461E+000	7.0906979E-001
5.1943736E+000	7.4640876E-001
5.3386064E+000	8.1201816E-001
5.4792619E+000	9.1502351E-001
5.6275110E+000	1.0697526E+000
5.7812033E+000	1.2983559E+000
5.9424710E+000	1.6111430E+000
6.1116810E+000	2.0710695E+000
6.2851777E+000	2.7389331E+000
6.4649901E+000	3.7146173E+000
6.6627965E+000	5.1592388E+000
6.9346952E+000	7.2942748E+000
7.3383112E+000	1.0386898E+001
7.9754868E+000	1.4911023E+001
9.3298244E+000	2.1430357E+001
1.1774853E+001	3.0684595E+001
1.6596128E+001	4.3551575E+001
2.5648548E+001	6.0583187E+001
4.2168442E+001	8.1261276E+001
6.9514221E+001	1.0195506E+002
1.0805177E+002	1.1576141E+002
1.5177933E+002	1.1573829E+002
1.9037326E+002	1.0177490E+002
2.1781044E+002	8.0940277E+001
2.3452968E+002	6.0312805E+001
2.4370331E+002	4.3208683E+001
2.4870811E+002	3.0155409E+001
2.5169054E+002	2.0837221E+001
2.5373886E+002	1.4533636E+001
2.5540439E+002	1.0001401E+001
2.5631897E+002	7.2209287E+000
2.5574037E+002	5.8161054E+000
