Ewe/V	<I>/mA	cycle number	
2.2412822E-001	-5.204855697229505E-004	1.000000000000000E+000
2.2222523E-001	-8.535581269445186E-004	1.000000000000000E+000
2.1892537E-001	-1.531870138195997E-003	1.000000000000000E+000
2.1552940E-001	-1.996268055911830E-003	1.000000000000000E+000
2.1214658E-001	-2.347781811053481E-003	1.000000000000000E+000
2.0881425E-001	-2.657596463069425E-003	1.000000000000000E+000
2.0541701E-001	-2.937129876232472E-003	1.000000000000000E+000
2.0201147E-001	-3.187923711868977E-003	1.000000000000000E+000
1.9869019E-001	-3.383807207092221E-003	1.000000000000000E+000
1.9533986E-001	-3.697460888173632E-003	1.000000000000000E+000
1.9201495E-001	-3.845652703635072E-003	1.000000000000000E+000
1.8825963E-001	-4.511059136736092E-003	1.000000000000000E+000
1.8440099E-001	-4.341060789926840E-003	1.000000000000000E+000
1.8088150E-001	-4.410563659796821E-003	1.000000000000000E+000
1.7749971E-001	-4.536749616409028E-003	1.000000000000000E+000
1.7418121E-001	-4.652808261055616E-003	1.000000000000000E+000
1.7079158E-001	-4.776722201500799E-003	1.000000000000000E+000
1.6744846E-001	-4.961722571198077E-003	1.000000000000000E+000
1.6408791E-001	-5.057369052725150E-003	1.000000000000000E+000
1.6079886E-001	-5.163954442590254E-003	1.000000000000000E+000
1.5738443E-001	-5.269488749667119E-003	1.000000000000000E+000
1.5402730E-001	-5.438447999166721E-003	1.000000000000000E+000
1.5068135E-001	-5.708024922316014E-003	1.000000000000000E+000
1.4727499E-001	-5.628525863617784E-003	1.000000000000000E+000
1.4398043E-001	-5.687747904363077E-003	1.000000000000000E+000
1.4061947E-001	-5.822465183580629E-003	1.000000000000000E+000
1.3727123E-001	-5.961624859595175E-003	1.000000000000000E+000
1.3391535E-001	-6.078869733532277E-003	1.000000000000000E+000
1.3054125E-001	-6.217986945193599E-003	1.000000000000000E+000
1.2766461E-001	-6.326920282014696E-003	1.000000000000000E+000
1.2646434E-001	-6.375270683253026E-003	1.000000000000000E+000
1.2905909E-001	-2.214966329353759E-003	1.000000000000000E+000
1.3313039E-001	-7.960517004638183E-004	1.000000000000000E+000
1.3648902E-001	-4.053022665731834E-005	1.000000000000000E+000
1.3984531E-001	4.592734136168990E-004	1.000000000000000E+000
1.4322433E-001	9.295795041849141E-004	1.000000000000000E+000
1.4653711E-001	1.249921052999836E-003	1.000000000000000E+000
1.4988938E-001	1.560942399001159E-003	1.000000000000000E+000
1.5322596E-001	1.852503537569904E-003	1.000000000000000E+000
1.5664484E-001	2.080025332285032E-003	1.000000000000000E+000
1.5998577E-001	2.460322332127554E-003	1.000000000000000E+000
1.6330144E-001	2.453187504329985E-003	1.000000000000000E+000
1.6674264E-001	2.608376382264209E-003	1.000000000000000E+000
1.7006879E-001	2.768045274677165E-003	1.000000000000000E+000
1.7341322E-001	2.820214558123653E-003	1.000000000000000E+000
1.7677353E-001	2.993378315364199E-003	1.000000000000000E+000
1.8012284E-001	3.151543956997651E-003	1.000000000000000E+000
1.8346977E-001	3.239058358072748E-003	1.000000000000000E+000
1.8683286E-001	3.331995518016884E-003	1.000000000000000E+000
1.9018427E-001	3.412728346130108E-003	1.000000000000000E+000
1.9353549E-001	3.499475874709855E-003	1.000000000000000E+000
1.9689709E-001	3.621379458651167E-003	1.000000000000000E+000
2.0077196E-001	4.086732067125384E-003	1.000000000000000E+000
2.0467556E-001	3.902514053836480E-003	1.000000000000000E+000
2.0802994E-001	4.030743106279606E-003	1.000000000000000E+000
2.1131706E-001	4.159491978234794E-003	1.000000000000000E+000
2.1471789E-001	4.287989520905339E-003	1.000000000000000E+000
2.1813084E-001	4.458963749732897E-003	1.000000000000000E+000
2.2152855E-001	4.616951446958326E-003	1.000000000000000E+000
2.2467722E-001	4.831590019257315E-003	1.000000000000000E+000
2.2642887E-001	4.074462670056770E-003	1.000000000000000E+000
2.2615266E-001	5.032694822622703E-003	1.000000000000000E+000
2.2440626E-001	1.858110974103717E-003	2.000000000000000E+000
2.2105505E-001	2.145626013229252E-004	2.000000000000000E+000
2.1770936E-001	-6.304446254581358E-004	2.000000000000000E+000
2.1430045E-001	-1.172393867070153E-003	2.000000000000000E+000
2.1058063E-001	-2.348837520885591E-003	2.000000000000000E+000
2.0675130E-001	-2.251374458175887E-003	2.000000000000000E+000
2.0320942E-001	-2.443235537956640E-003	2.000000000000000E+000
1.9986458E-001	-2.799892156272115E-003	2.000000000000000E+000
1.9649260E-001	-2.966299353401668E-003	2.000000000000000E+000
1.9314690E-001	-3.210193856831356E-003	2.000000000000000E+000
1.8977913E-001	-3.392629842968724E-003	2.000000000000000E+000
1.8639760E-001	-3.538484169115813E-003	2.000000000000000E+000
1.8301243E-001	-3.726654596161352E-003	2.000000000000000E+000
1.7971130E-001	-3.920551087280108E-003	2.000000000000000E+000
1.7636031E-001	-4.147569518017868E-003	2.000000000000000E+000
1.7296283E-001	-4.326230262226796E-003	2.000000000000000E+000
