Ewe/V	<I>/mA	cycle number	
2.1447019E-001	-1.857892610132694E-002	1.000000000000000E+000
2.1258044E-001	-2.494119201316258E-002	1.000000000000000E+000
2.0916633E-001	-2.584651360173618E-002	1.000000000000000E+000
2.0576219E-001	-2.663793833765693E-002	1.000000000000000E+000
2.0235020E-001	-2.765715820507703E-002	1.000000000000000E+000
1.9895111E-001	-3.066684651337684E-002	1.000000000000000E+000
1.9548750E-001	-2.955083258174596E-002	1.000000000000000E+000
1.9216253E-001	-3.004162547396844E-002	1.000000000000000E+000
1.8876284E-001	-3.066802357863518E-002	1.000000000000000E+000
1.8529864E-001	-3.133276079585373E-002	1.000000000000000E+000
1.8195195E-001	-3.462360975689849E-002	1.000000000000000E+000
1.7858601E-001	-3.294889572180160E-002	1.000000000000000E+000
1.7515343E-001	-3.339465678381726E-002	1.000000000000000E+000
1.7181781E-001	-3.367185044894871E-002	1.000000000000000E+000
1.6838056E-001	-3.451065478134430E-002	1.000000000000000E+000
1.6493520E-001	-3.691616499450368E-002	1.000000000000000E+000
1.6158284E-001	-3.588130214974750E-002	1.000000000000000E+000
1.5818359E-001	-3.636819681223047E-002	1.000000000000000E+000
1.5475588E-001	-3.680420793501982E-002	1.000000000000000E+000
1.5139481E-001	-3.968050281757973E-002	1.000000000000000E+000
1.4798275E-001	-3.812369015941974E-002	1.000000000000000E+000
1.4463271E-001	-3.820371687596225E-002	1.000000000000000E+000
1.4121434E-001	-3.833574870670281E-002	1.000000000000000E+000
1.3780534E-001	-3.857409990128519E-002	1.000000000000000E+000
1.3438755E-001	-4.182093035661039E-002	1.000000000000000E+000
1.3097556E-001	-3.945298307565492E-002	1.000000000000000E+000
1.2796119E-001	-3.929956208972785E-002	1.000000000000000E+000
1.2659100E-001	-3.205752434829873E-002	1.000000000000000E+000
1.3005666E-001	9.955910495837883E-003	1.000000000000000E+000
1.3501796E-001	1.633080714256263E-002	1.000000000000000E+000
1.3844299E-001	1.658938893405054E-002	1.000000000000000E+000
1.4177328E-001	1.806521802220738E-002	1.000000000000000E+000
1.4523028E-001	1.891842845505405E-002	1.000000000000000E+000
1.4861330E-001	2.175906838274476E-002	1.000000000000000E+000
1.5198854E-001	2.106636946951734E-002	1.000000000000000E+000
1.5539013E-001	2.154960318733304E-002	1.000000000000000E+000
1.5881611E-001	2.198546352577624E-002	1.000000000000000E+000
1.6364673E-001	2.681171159412699E-002	1.000000000000000E+000
1.6842386E-001	3.125316966600650E-002	1.000000000000000E+000
1.7181699E-001	3.131792319133861E-002	1.000000000000000E+000
1.7518379E-001	3.155886444413486E-002	1.000000000000000E+000
