Re(Z)/Ohm	-Im(Z)/Ohm	
4.0620446E+000	5.1237744E-001
4.2223969E+000	5.8036274E-001
4.3957300E+000	6.3110471E-001
4.5739942E+000	6.6330296E-001
4.7481904E+000	6.8017024E-001
4.9144506E+000	6.9924170E-001
5.0740123E+000	7.2306967E-001
5.2165427E+000	7.6140153E-001
5.3645821E+000	8.3028322E-001
5.5150132E+000	9.3676198E-001
5.6756935E+000	1.0888839E+000
5.8530717E+000	1.3160356E+000
6.0482850E+000	1.6252133E+000
6.2688589E+000	2.0629370E+000
6.5302019E+000	2.6901970E+000
6.8702612E+000	3.5874670E+000
7.3687563E+000	4.8666716E+000
8.2083998E+000	6.6455884E+000
9.6953421E+000	9.0021048E+000
1.2195104E+001	1.1700221E+001
1.6251995E+001	1.4366108E+001
2.1716345E+001	1.5862852E+001
2.7580786E+001	1.5371613E+001
3.2488171E+001	1.3155562E+001
3.5775723E+001	1.0247328E+001
3.7712894E+001	7.5336952E+000
3.8776810E+001	5.3659616E+000
3.9309814E+001	3.7551975E+000
3.9594280E+001	2.6026342E+000
3.9723728E+001	1.7812339E+000
3.9771671E+001	1.1877306E+000
3.9803593E+001	7.9733008E-001
3.9801201E+001	5.4451299E-001
3.9745434E+001	3.7918141E-001
3.9670937E+001	2.7345857E-001
3.9575977E+001	1.9871576E-001
3.9566338E+001	1.1926398E-001
3.9614212E+001	7.0728190E-002
