Re(Z)/Ohm	-Im(Z)/Ohm	
4.1398125E+000	6.0863805E-001
4.3123040E+000	7.0744210E-001
4.4962802E+000	8.0714118E-001
4.6882086E+000	9.1557819E-001
4.8896523E+000	1.0481489E+000
5.0948153E+000	1.2184887E+000
5.3073487E+000	1.4530834E+000
5.5289054E+000	1.7824819E+000
5.7700677E+000	2.2585325E+000
6.0234132E+000	2.9372926E+000
6.3092937E+000	3.9247360E+000
6.6378713E+000	5.3540835E+000
7.0401917E+000	7.4320269E+000
7.5470262E+000	1.0439157E+001
8.2115612E+000	1.4768578E+001
9.1529226E+000	2.1046177E+001
1.0502952E+001	3.0025713E+001
1.2476717E+001	4.3008675E+001
1.5501978E+001	6.1528267E+001
1.9599924E+001	8.8251595E+001
2.5754614E+001	1.2656333E+002
3.5049046E+001	1.8184433E+002
4.9453766E+001	2.6074258E+002
6.9947678E+001	3.7498648E+002
1.0320543E+002	5.4045221E+002
1.5174408E+002	7.7881628E+002
2.2896935E+002	1.1185970E+003
3.5183716E+002	1.6108236E+003
5.4059717E+002	2.3237893E+003
7.9391046E+002	3.4093955E+003
1.2248184E+003	4.9467554E+003
1.8599144E+003	7.1264209E+003
2.8831152E+003	1.0229231E+004
4.3054873E+003	1.4602464E+004
6.8039028E+003	2.0993701E+004
1.0578021E+004	3.0179922E+004
