Re(Z)/Ohm	-Im(Z)/Ohm	
4.0483580E+000	5.5211312E-001
4.2148628E+000	6.1699319E-001
4.3918772E+000	6.7017967E-001
4.5789895E+000	7.0445663E-001
4.7645488E+000	7.2890341E-001
4.9440384E+000	7.4969649E-001
5.1189437E+000	7.7658707E-001
5.2870541E+000	8.1709200E-001
5.4584036E+000	8.8682902E-001
5.6463990E+000	9.8953563E-001
5.8612413E+000	1.1256458E+000
6.1205916E+000	1.3032053E+000
6.4442163E+000	1.5212681E+000
6.8645029E+000	1.7611214E+000
7.4209666E+000	1.9717429E+000
8.0882597E+000	2.0690868E+000
8.7865801E+000	1.9665070E+000
9.3820763E+000	1.6935934E+000
9.8126450E+000	1.3360204E+000
1.0104634E+001	1.0146554E+000
1.0218783E+001	7.1188396E-001
1.0305952E+001	5.1240402E-001
1.0347263E+001	3.6382753E-001
1.0376256E+001	2.5990963E-001
1.0407804E+001	1.8616563E-001
1.0432644E+001	1.5552652E-001
1.0455035E+001	1.1064661E-001
1.0500789E+001	8.1499763E-002
1.0538568E+001	8.4916338E-002
1.0571351E+001	7.7820659E-002
1.0604168E+001	7.5394578E-002
1.0659807E+001	5.8954604E-002
1.0725121E+001	3.5736680E-002
1.0823990E+001	2.9011196E-002
1.0951372E+001	1.5182706E-002
1.1113822E+001	3.5842165E-002
1.1314080E+001	8.5989557E-002
1.1458154E+001	1.9333850E-001
