Re(Z)/Ohm	-Im(Z)/Ohm	
4.0873013E+000	-9.5581824E-001
3.6683593E+000	-6.8569207E-001
3.4817021E+000	-4.0941811E-001
3.4296341E+000	-1.8594624E-001
3.4434638E+000	-1.5442512E-002
3.4880610E+000	1.1482675E-001
3.5540683E+000	2.1991503E-001
3.6335416E+000	3.1048006E-001
3.7288299E+000	3.9578146E-001
3.8450313E+000	4.8361668E-001
3.9833291E+000	5.6189728E-001
4.1439848E+000	6.3771552E-001
4.3268685E+000	7.0335889E-001
4.5283384E+000	7.5351828E-001
4.7344346E+000	7.8727138E-001
4.9468131E+000	8.0838513E-001
5.1512842E+000	8.2500392E-001
5.3506360E+000	8.4341723E-001
5.5612359E+000	8.8194734E-001
5.7754073E+000	9.2207098E-001
6.0273643E+000	9.7106105E-001
6.3112855E+000	1.0041997E+000
6.6194477E+000	9.9549150E-001
6.9287930E+000	9.3082905E-001
7.2023153E+000	8.0287164E-001
7.3989849E+000	6.4160740E-001
7.5279713E+000	4.8692179E-001
7.5984588E+000	3.5241887E-001
7.6424546E+000	2.4921992E-001
7.6441722E+000	1.8967825E-001
7.6813636E+000	1.5091500E-001
7.6967359E+000	1.0779310E-001
7.7068911E+000	8.9984484E-002
7.7225351E+000	7.3633656E-002
7.7315035E+000	6.0120951E-002
7.7649541E+000	6.6513196E-002
7.7749372E+000	8.0436908E-002
7.7977896E+000	4.7577452E-002
7.8289342E+000	8.7946266E-002
7.8743396E+000	7.4650392E-002
7.8823819E+000	1.3820092E-001
7.8963566E+000	9.2087023E-002
7.9574289E+000	5.7916969E-002
8.0454645E+000	-6.0229905E-002
8.1812258E+000	-5.7627168E-002
8.5042353E+000	-8.7482803E-002
8.8251858E+000	1.4067289E-001
9.1482983E+000	4.4716486E-001
