Re(Z)/Ohm	-Im(Z)/Ohm	
4.0236707E+000	5.2866274E-001
4.1791048E+000	6.1989123E-001
4.3521557E+000	6.9929582E-001
4.5321617E+000	7.6624596E-001
4.7230864E+000	8.3553058E-001
4.9112129E+000	9.0651065E-001
5.0933456E+000	9.9983025E-001
5.2714553E+000	1.1261660E+000
5.4483490E+000	1.3171681E+000
5.6276741E+000	1.5938199E+000
5.8156414E+000	1.9981163E+000
6.0061893E+000	2.5801733E+000
6.2055531E+000	3.4264836E+000
6.4322214E+000	4.6568642E+000
6.6977167E+000	6.4462790E+000
7.0458984E+000	9.0360403E+000
7.5288458E+000	1.2748216E+001
8.2644253E+000	1.8102076E+001
9.4213467E+000	2.5752943E+001
1.1128470E+001	3.6504906E+001
1.4314858E+001	5.2033852E+001
1.9398972E+001	7.3719841E+001
2.7970226E+001	1.0363018E+002
4.2779140E+001	1.4479309E+002
6.8117111E+001	2.0047305E+002
1.1101905E+002	2.7030249E+002
1.8222075E+002	3.5597824E+002
2.8098331E+002	4.5171704E+002
4.2952673E+002	5.3404089E+002
6.1495367E+002	5.8154083E+002
8.1681549E+002	5.8508838E+002
1.0081962E+003	5.4649487E+002
1.1819120E+003	4.8985443E+002
1.3410646E+003	4.3937106E+002
1.4639147E+003	3.9212717E+002
1.5826898E+003	3.4272672E+002
1.6988927E+003	2.9113544E+002
1.8188872E+003	2.3678525E+002
