Ewe/V	<I>/mA	cycle number	
1.8713176E-001	-1.103620278022061E-002	2.000000000000000E+000
1.8371724E-001	-1.153112801982056E-002	2.000000000000000E+000
1.8032411E-001	-1.249415547518162E-002	2.000000000000000E+000
1.7691757E-001	-1.245445011281434E-002	2.000000000000000E+000
1.7354526E-001	-1.268562649307531E-002	2.000000000000000E+000
1.7015131E-001	-1.312924542987380E-002	2.000000000000000E+000
1.6678408E-001	-1.343945206372747E-002	2.000000000000000E+000
1.6336027E-001	-1.483721917368479E-002	2.000000000000000E+000
1.5999103E-001	-1.419174968926210E-002	2.000000000000000E+000
1.5658094E-001	-1.441160547897466E-002	2.000000000000000E+000
1.5314282E-001	-1.481798957999000E-002	2.000000000000000E+000
1.4978471E-001	-1.504123174481753E-002	2.000000000000000E+000
1.4633021E-001	-1.639835840654075E-002	2.000000000000000E+000
1.4298765E-001	-1.555768960477566E-002	2.000000000000000E+000
1.3953471E-001	-1.578310113135596E-002	2.000000000000000E+000
1.3612078E-001	-1.586840343454898E-002	2.000000000000000E+000
1.3275531E-001	-1.630430260891536E-002	2.000000000000000E+000
1.2932286E-001	-1.659537636754915E-002	2.000000000000000E+000
1.2724623E-001	-1.633620784255399E-002	2.000000000000000E+000
1.2655929E-001	-1.420532829231686E-002	2.000000000000000E+000
1.2909923E-001	-8.270736022185509E-005	2.000000000000000E+000
1.3388145E-001	4.150671762778585E-003	2.000000000000000E+000
1.3801269E-001	7.679179624895977E-003	2.000000000000000E+000
1.4142734E-001	8.570685542680451E-003	2.000000000000000E+000
1.4476590E-001	9.023487847357570E-003	2.000000000000000E+000
1.4821057E-001	9.619853576030984E-003	2.000000000000000E+000
1.5157652E-001	9.911410938664406E-003	2.000000000000000E+000
1.5500964E-001	1.101708640672466E-002	2.000000000000000E+000
1.5843874E-001	1.075752612203187E-002	2.000000000000000E+000
1.6180789E-001	1.092518840416132E-002	2.000000000000000E+000
1.6520907E-001	1.106213710339982E-002	2.000000000000000E+000
1.6861936E-001	1.109866758089623E-002	2.000000000000000E+000
1.7199118E-001	1.202162264966911E-002	2.000000000000000E+000
1.7536148E-001	1.154108422687623E-002	2.000000000000000E+000
1.7873572E-001	1.149605642187493E-002	2.000000000000000E+000
1.8216832E-001	1.155200625511349E-002	2.000000000000000E+000
1.8558900E-001	1.160921302117884E-002	2.000000000000000E+000
1.8897592E-001	1.259350056789013E-002	2.000000000000000E+000
1.9234939E-001	1.170330792539091E-002	2.000000000000000E+000
1.9578302E-001	1.175674271108954E-002	2.000000000000000E+000
1.9915937E-001	1.189108607830980E-002	2.000000000000000E+000
2.0256968E-001	1.172175308430432E-002	2.000000000000000E+000
2.0593290E-001	1.247977141313558E-002	2.000000000000000E+000
2.0935148E-001	1.207046119892988E-002	2.000000000000000E+000
2.1279913E-001	1.214045981531875E-002	2.000000000000000E+000
2.1617633E-001	1.231696657945842E-002	2.000000000000000E+000
2.1961409E-001	1.285331700439859E-002	2.000000000000000E+000
2.2299740E-001	1.277841317955877E-002	2.000000000000000E+000
2.2543579E-001	1.278082527306990E-002	2.000000000000000E+000
2.2634996E-001	1.247402166740762E-002	2.000000000000000E+000
2.2633778E-001	1.542909909039736E-002	2.000000000000000E+000
