Ewe/V	<I>/mA	cycle number	
2.2606975E-001	-2.387644053669646E-004	1.000000000000000E+000
2.2430141E-001	-5.663257728409539E-004	1.000000000000000E+000
2.2095624E-001	-9.722990116195693E-004	1.000000000000000E+000
2.1762252E-001	-1.241787774815793E-003	1.000000000000000E+000
2.1429710E-001	-1.511520576464740E-003	1.000000000000000E+000
2.1091413E-001	-1.714029442303353E-003	1.000000000000000E+000
2.0761333E-001	-1.882091948004937E-003	1.000000000000000E+000
2.0428827E-001	-2.048756742578713E-003	1.000000000000000E+000
2.0093329E-001	-2.251192543657840E-003	1.000000000000000E+000
1.9761680E-001	-2.390691498444324E-003	1.000000000000000E+000
1.9432651E-001	-2.533403666177516E-003	1.000000000000000E+000
1.9102521E-001	-2.691956478217647E-003	1.000000000000000E+000
1.8762141E-001	-2.849804664363256E-003	1.000000000000000E+000
1.8430328E-001	-3.006332865527171E-003	1.000000000000000E+000
1.8095642E-001	-3.145918889431228E-003	1.000000000000000E+000
1.7768775E-001	-3.293972647881983E-003	1.000000000000000E+000
1.7427799E-001	-3.452795200290557E-003	1.000000000000000E+000
1.7101361E-001	-3.601570332296907E-003	1.000000000000000E+000
1.6764012E-001	-3.756628435510390E-003	1.000000000000000E+000
1.6436598E-001	-3.919588339060281E-003	1.000000000000000E+000
1.6101106E-001	-4.062520031970565E-003	1.000000000000000E+000
1.5764570E-001	-4.235635996783109E-003	1.000000000000000E+000
1.5436770E-001	-4.379873001748982E-003	1.000000000000000E+000
1.5099467E-001	-4.537756088965957E-003	1.000000000000000E+000
1.4766935E-001	-4.691015299132920E-003	1.000000000000000E+000
1.4436370E-001	-4.853941531387351E-003	1.000000000000000E+000
1.4106084E-001	-4.989069776639675E-003	1.000000000000000E+000
1.3773796E-001	-5.145108333892227E-003	1.000000000000000E+000
1.3440591E-001	-5.284635470445428E-003	1.000000000000000E+000
1.3100514E-001	-5.405846707042042E-003	1.000000000000000E+000
1.2795414E-001	-5.555653346150408E-003	1.000000000000000E+000
1.2646833E-001	-5.473157897550655E-003	1.000000000000000E+000
1.2636137E-001	-8.068653754889965E-003	1.000000000000000E+000
1.2680067E-001	-5.336239102429585E-003	1.000000000000000E+000
1.2860918E-001	-4.036061909240163E-003	1.000000000000000E+000
1.3201271E-001	-3.004799856341214E-003	1.000000000000000E+000
1.3533519E-001	-2.391733749388603E-003	1.000000000000000E+000
1.3871792E-001	-1.928735501713330E-003	1.000000000000000E+000
1.4201367E-001	-1.553397395714730E-003	1.000000000000000E+000
1.4535716E-001	-1.246216272056452E-003	1.000000000000000E+000
1.4871040E-001	-1.010003950305809E-003	1.000000000000000E+000
1.5202291E-001	-7.769442179604728E-004	1.000000000000000E+000
1.5532480E-001	-5.526206112361712E-004	1.000000000000000E+000
1.5867934E-001	-3.883369565033734E-004	1.000000000000000E+000
1.6200815E-001	-2.324817641563316E-004	1.000000000000000E+000
1.6525957E-001	-6.297657290103083E-005	1.000000000000000E+000
1.6864783E-001	7.718696827905918E-005	1.000000000000000E+000
1.7196244E-001	1.882475198439314E-004	1.000000000000000E+000
1.7529850E-001	2.870024420397682E-004	1.000000000000000E+000
1.7860040E-001	4.114584739276384E-004	1.000000000000000E+000
1.8194388E-001	5.057258345167980E-004	1.000000000000000E+000
1.8525320E-001	6.190874396012538E-004	1.000000000000000E+000
1.8857145E-001	7.165517697339044E-004	1.000000000000000E+000
1.9193465E-001	8.502394037324616E-004	1.000000000000000E+000
1.9523251E-001	9.621075305210648E-004	1.000000000000000E+000
1.9858427E-001	1.057962662877733E-003	1.000000000000000E+000
2.0189700E-001	1.162756913837725E-003	1.000000000000000E+000
2.0523730E-001	1.259420904584861E-003	1.000000000000000E+000
2.0859692E-001	1.346622020602694E-003	1.000000000000000E+000
2.1188819E-001	1.456141560449438E-003	1.000000000000000E+000
2.1524504E-001	1.589010614288261E-003	1.000000000000000E+000
2.1864626E-001	1.702476971028547E-003	1.000000000000000E+000
2.2193371E-001	1.821339463511063E-003	1.000000000000000E+000
2.2494586E-001	1.946253577504914E-003	1.000000000000000E+000
2.2654389E-001	5.295109879263352E-003	1.000000000000000E+000
2.2628959E-001	2.169475268961468E-003	1.000000000000000E+000
2.2450835E-001	9.478381050469602E-004	2.000000000000000E+000
2.2118054E-001	2.551224005461488E-004	2.000000000000000E+000
2.1790582E-001	-1.284472668961566E-004	2.000000000000000E+000
2.1457464E-001	-4.313615777781447E-004	2.000000000000000E+000
2.1116240E-001	-6.516871047488925E-004	2.000000000000000E+000
2.0784119E-001	-8.594057760207283E-004	2.000000000000000E+000
2.0445740E-001	-1.036501065588266E-003	2.000000000000000E+000
2.0116338E-001	-1.179609119657560E-003	2.000000000000000E+000
1.9779760E-001	-1.299707871695647E-003	2.000000000000000E+000
1.9449060E-001	-1.429520193601063E-003	2.000000000000000E+000
1.9119889E-001	-1.536264204405093E-003	2.000000000000000E+000
1.8785475E-001	-1.641810449949217E-003	2.000000000000000E+000
1.8449324E-001	-1.727522717491723E-003	2.000000000000000E+000
1.8121958E-001	-1.806030140313691E-003	2.000000000000000E+000
1.7786549E-001	-1.909090072334797E-003	2.000000000000000E+000
1.7454046E-001	-1.989338110269237E-003	2.000000000000000E+000
1.7124663E-001	-2.068119143662318E-003	2.000000000000000E+000
1.6789402E-001	-2.162601895391705E-003	2.000000000000000E+000
1.6456984E-001	-2.220120237081308E-003	2.000000000000000E+000
1.6117288E-001	-2.297785775413678E-003	2.000000000000000E+000
1.5786460E-001	-2.394327820552294E-003	2.000000000000000E+000
1.5452453E-001	-2.466187316792476E-003	2.000000000000000E+000
1.5127252E-001	-2.572423582429761E-003	2.000000000000000E+000
1.4791162E-001	-2.668503812906647E-003	2.000000000000000E+000
1.4457174E-001	-2.757280371748041E-003	2.000000000000000E+000
1.4124927E-001	-2.864375555221912E-003	2.000000000000000E+000
1.3792488E-001	-2.940369833695111E-003	2.000000000000000E+000
1.3461024E-001	-3.062980485055479E-003	2.000000000000000E+000
1.3123642E-001	-3.225363113363024E-003	2.000000000000000E+000
1.2809183E-001	-3.351749845216301E-003	2.000000000000000E+000
1.2652990E-001	-3.386959133204075E-003	2.000000000000000E+000
1.2834240E-001	-2.269449850460485E-003	2.000000000000000E+000
1.3168992E-001	-1.602676945118595E-003	2.000000000000000E+000
1.3503425E-001	-1.233666129479501E-003	2.000000000000000E+000
1.3838983E-001	-9.455617929456824E-004	2.000000000000000E+000
1.4168833E-001	-7.184070985086069E-004	2.000000000000000E+000
1.4498812E-001	-5.046229699458490E-004	2.000000000000000E+000
1.4837064E-001	-3.352840796374684E-004	2.000000000000000E+000
1.5170054E-001	-2.033772574266397E-004	2.000000000000000E+000
