Ewe/V	<I>/mA	
-5.7618433E-001	-4.921328347045659E+000
-5.7949013E-001	-5.250342214447187E+000
-5.8279657E-001	-5.585392873775803E+000
-5.8615124E-001	-5.954512616362466E+000
-5.8947372E-001	-6.312191019041964E+000
-5.9277552E-001	-6.678337188457412E+000
-5.9609556E-001	-7.053493387215404E+000
-5.9942836E-001	-7.453571047241169E+000
-6.0284483E-001	-7.878262157431934E+000
-6.0610604E-001	-8.306836020061048E+000
-6.0944080E-001	-8.775572170466972E+000
-6.1275440E-001	-9.229538619101078E+000
-6.1609769E-001	-9.707198713473105E+000
-6.1959791E-001	-1.021525538974012E+001
-6.2320405E-001	-1.072805980028880E+001
-6.2642354E-001	-1.125139176009338E+001
-6.2979329E-001	-1.181990910134856E+001
-6.3311261E-001	-1.235147648743373E+001
-6.3644254E-001	-1.290437983983550E+001
-6.3980734E-001	-1.350373173022009E+001
-6.4309675E-001	-1.420802145937529E+001
-6.4639366E-001	-1.479618116311059E+001
-6.4981765E-001	-1.538983181208488E+001
-6.5310133E-001	-1.597151124714162E+001
-6.5641838E-001	-1.658803395828576E+001
-6.5986711E-001	-1.720761123827235E+001
-6.6318315E-001	-1.783774302267290E+001
-6.6643566E-001	-1.846802583803810E+001
-6.6973549E-001	-1.910381641132739E+001
-6.7315614E-001	-1.975650748357964E+001
-6.7641705E-001	-2.042134625526003E+001
-6.7985791E-001	-2.110311477659783E+001
-6.8305719E-001	-2.176537715704594E+001
-6.8647254E-001	-2.249228847443599E+001
-6.8975431E-001	-2.319783165179788E+001
-6.9302344E-001	-2.391230228503255E+001
-6.9636506E-001	-2.460107213348023E+001
-6.9889098E-001	-2.511655023387290E+001
-7.0012534E-001	-2.531827992891016E+001
