Ewe/V	<I>/mA	
-5.7245821E-001	-4.534957194368081E+001
-5.7572818E-001	-4.660113567869030E+001
-5.7907480E-001	-4.796221498787091E+001
-5.8239484E-001	-4.943504796545312E+001
-5.8572131E-001	-5.052598186621820E+001
-5.8903480E-001	-5.194380195203699E+001
-5.9229243E-001	-5.314953871251714E+001
-5.9572434E-001	-5.455907967616474E+001
-5.9905142E-001	-5.583736285931627E+001
-6.0233808E-001	-5.712322986833767E+001
-6.0570985E-001	-5.867392611568857E+001
-6.0918522E-001	-5.986855520281188E+001
-6.1235344E-001	-6.123616216903656E+001
-6.1569142E-001	-6.265337076313244E+001
-6.1898988E-001	-6.413809194182528E+001
-6.2236667E-001	-6.570082842436850E+001
-6.2566137E-001	-6.675646717929749E+001
-6.2902021E-001	-6.833428128189706E+001
-6.3231957E-001	-6.973432976545212E+001
-6.3575953E-001	-7.104380261525830E+001
-6.3905686E-001	-7.255410952297973E+001
-6.4229572E-001	-7.374889421659014E+001
-6.4559847E-001	-7.485029839077856E+001
-6.4894110E-001	-7.601964630555517E+001
-6.5232581E-001	-7.789415210301536E+001
-6.5565479E-001	-7.920926812732978E+001
-6.5898246E-001	-8.058584526913626E+001
-6.6229266E-001	-8.174676600210921E+001
-6.6558337E-001	-8.240943632213043E+001
-6.6896677E-001	-8.406586727232343E+001
-6.7226654E-001	-8.535498959138010E+001
-6.7558360E-001	-8.702382524389714E+001
-6.7905903E-001	-8.822555023669929E+001
-6.8228650E-001	-8.968158733743070E+001
-6.8560112E-001	-9.087972251488682E+001
-6.8894696E-001	-9.211764476115900E+001
-6.9229561E-001	-9.358499384958805E+001
-6.9555509E-001	-9.519052774340469E+001
-6.9841450E-001	-9.574286227045923E+001
-6.9972187E-001	-9.564491429822203E+001
